

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
43,Sell Short,30/11/2016 08:05,Sell3,$2971.75,$0.00,4,$95.00,0.16%,$130.00,66.67%,,$0.00,$0.00
,Buy to Cover,30/11/2016 10:35,chiudoShort,$2967.00,,$95.00,$378.75,,($65.00),82.05%,48.72%,$0.00,$0.00
44,Sell Short,02/12/2016 08:40,Sell2,$2955.50,$0.00,3,($22.50),-0.05%,$56.25,55.56%,,$0.00,$0.00
,Buy to Cover,02/12/2016 10:35,chiudoShort,$2957.00,,($22.50),$356.25,,($45.00),22.22%,-22.22%,$0.00,$0.00
45,Sell Short,06/12/2016 08:05,Sell2,$2969.50,$0.00,3,$90.00,0.20%,$93.75,96.15%,,$0.00,$0.00
,Buy to Cover,06/12/2016 08:45,Cover,$2963.50,,$90.00,$446.25,,($3.75),96.15%,92.31%,$0.00,$0.00
46,Sell Short,08/12/2016 08:45,Sell2,$3004.00,$0.00,3,$15.00,0.03%,$90.00,85.71%,,$0.00,$0.00
,Buy to Cover,08/12/2016 10:35,chiudoShort,$3003.00,,$15.00,$461.25,,($15.00),28.57%,14.29%,$0.00,$0.00
47,Sell Short,13/12/2016 03:00,Sell2,$3022.50,$0.00,3,($131.25),-0.29%,$15.00,7.84%,,$0.00,$0.00
,Buy to Cover,13/12/2016 10:35,chiudoShort,$3031.25,,($131.25),$330.00,,($176.25),23.53%,-68.63%,$0.00,$0.00
48,Sell Short,13/12/2016 07:00,Sell3,$3025.50,$0.00,4,($115.00),-0.19%,$40.00,18.60%,,$0.00,$0.00
,Buy to Cover,13/12/2016 10:35,chiudoShort,$3031.25,,($115.00),$215.00,,($175.00),27.91%,-53.49%,$0.00,$0.00
49,Sell Short,15/12/2016 09:00,Sell2,$3026.50,$0.00,3,($60.00),-0.13%,$18.75,13.89%,,$0.00,$0.00
,Buy to Cover,15/12/2016 10:35,chiudoShort,$3030.50,,($60.00),$155.00,,($116.25),41.67%,-44.44%,$0.00,$0.00
50,Sell Short,15/12/2016 09:10,Sell3,$3029.50,$0.00,4,($20.00),-0.03%,$85.00,47.22%,,$0.00,$0.00
,Buy to Cover,15/12/2016 10:35,chiudoShort,$3030.50,,($20.00),$135.00,,($95.00),41.67%,-11.11%,$0.00,$0.00
51,Sell Short,28/12/2016 07:25,Sell2,$3033.25,$0.00,3,$82.50,0.18%,$93.75,89.29%,,$0.00,$0.00
,Buy to Cover,28/12/2016 08:50,Cover,$3027.75,,$82.50,$217.50,,($11.25),89.29%,78.57%,$0.00,$0.00
52,Sell Short,03/01/2017 02:20,Sell2,$3017.00,$0.00,3,$82.50,0.18%,$97.50,41.94%,,$0.00,$0.00
,Buy to Cover,03/01/2017 10:35,chiudoShort,$3011.50,,$82.50,$300.00,,($135.00),93.55%,35.48%,$0.00,$0.00
53,Sell Short,03/01/2017 05:20,Sell3,$3020.00,$0.00,4,$170.00,0.28%,$190.00,61.29%,,$0.00,$0.00
,Buy to Cover,03/01/2017 10:35,chiudoShort,$3011.50,,$170.00,$470.00,,($120.00),93.55%,54.84%,$0.00,$0.00
54,Sell Short,11/01/2017 09:40,Sell2,$3035.00,$0.00,3,$112.50,0.25%,$116.25,88.57%,,$0.00,$0.00
,Buy to Cover,11/01/2017 10:35,chiudoShort,$3027.50,,$112.50,$582.50,,($15.00),97.14%,85.71%,$0.00,$0.00
55,Sell Short,13/01/2017 08:35,Sell2,$3036.00,$0.00,3,($37.50),-0.08%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,13/01/2017 10:35,chiudoShort,$3038.50,,($37.50),$545.00,,($60.00),37.50%,-62.50%,$0.00,$0.00
56,Sell Short,13/01/2017 08:55,Sell3,$3039.00,$0.00,4,$10.00,0.02%,$60.00,80.00%,,$0.00,$0.00
,Buy to Cover,13/01/2017 10:35,chiudoShort,$3038.50,,$10.00,$555.00,,($15.00),33.33%,13.33%,$0.00,$0.00
57,Sell Short,20/01/2017 08:35,Sell2,$3035.00,$0.00,3,$7.50,0.02%,$11.25,15.00%,,$0.00,$0.00
,Buy to Cover,20/01/2017 10:35,chiudoShort,$3034.50,,$7.50,$562.50,,($63.75),95.00%,10.00%,$0.00,$0.00
58,Sell Short,20/01/2017 08:40,Sell3,$3038.00,$0.00,4,$70.00,0.12%,$75.00,75.00%,,$0.00,$0.00
,Buy to Cover,20/01/2017 10:35,chiudoShort,$3034.50,,$70.00,$632.50,,($25.00),95.00%,70.00%,$0.00,$0.00
59,Sell Short,24/01/2017 10:10,Sell2,$3032.75,$0.00,3,($7.50),-0.02%,$3.75,14.29%,,$0.00,$0.00
,Buy to Cover,24/01/2017 10:35,chiudoShort,$3033.25,,($7.50),$625.00,,($22.50),57.14%,-28.57%,$0.00,$0.00
60,Sell Short,25/01/2017 02:35,Sell2,$3047.00,$0.00,3,($157.50),-0.34%,$15.00,7.55%,,$0.00,$0.00
,Buy to Cover,25/01/2017 10:35,chiudoShort,$3057.50,,($157.50),$467.50,,($183.75),13.21%,-79.25%,$0.00,$0.00
61,Sell Short,25/01/2017 07:00,Sell3,$3050.00,$0.00,4,($150.00),-0.25%,$20.00,9.76%,,$0.00,$0.00
,Buy to Cover,25/01/2017 10:35,chiudoShort,$3057.50,,($150.00),$317.50,,($185.00),17.07%,-73.17%,$0.00,$0.00
62,Sell Short,02/02/2017 10:00,Sell2,$3044.75,$0.00,3,$30.00,0.07%,$30.00,57.14%,,$0.00,$0.00
,Buy to Cover,02/02/2017 10:35,chiudoShort,$3042.75,,$30.00,$347.50,,($22.50),100.00%,57.14%,$0.00,$0.00
63,Sell Short,09/02/2017 05:25,Sell2,$3060.75,$0.00,3,($168.75),-0.37%,$41.25,18.97%,,$0.00,$0.00
,Buy to Cover,09/02/2017 10:35,chiudoShort,$3072.00,,($168.75),$178.75,,($176.25),3.45%,-77.59%,$0.00,$0.00
64,Sell Short,09/02/2017 09:20,Sell3,$3063.75,$0.00,4,($165.00),-0.27%,$5.00,2.78%,,$0.00,$0.00
,Buy to Cover,09/02/2017 10:35,chiudoShort,$3072.00,,($165.00),$13.75,,($175.00),5.56%,-91.67%,$0.00,$0.00
65,Sell Short,10/02/2017 09:35,Sell2,$3077.00,$0.00,3,$22.50,0.05%,$30.00,66.67%,,$0.00,$0.00
,Buy to Cover,10/02/2017 10:35,chiudoShort,$3075.50,,$22.50,$36.25,,($15.00),83.33%,50.00%,$0.00,$0.00
66,Sell Short,01/03/2017 06:40,Sell2,$3142.25,$0.00,3,($247.50),-0.53%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,01/03/2017 10:35,chiudoShort,$3158.75,,($247.50),($211.25),,($251.25),1.49%,-98.51%,$0.00,$0.00
67,Sell Short,01/03/2017 07:20,Sell3,$3145.50,$0.00,4,($265.00),-0.42%,$10.00,3.57%,,$0.00,$0.00
,Buy to Cover,01/03/2017 10:35,chiudoShort,$3158.75,,($265.00),($476.25),,($270.00),1.79%,-94.64%,$0.00,$0.00
68,Sell Short,09/03/2017 09:10,Sell2,$3135.00,$0.00,3,$30.00,0.06%,$71.25,86.36%,,$0.00,$0.00
,Buy to Cover,09/03/2017 10:35,chiudoShort,$3133.00,,$30.00,($446.25),,($11.25),50.00%,36.36%,$0.00,$0.00
69,Sell Short,10/03/2017 07:30,Sell2,$3142.75,$0.00,3,$78.75,0.17%,$150.00,76.92%,,$0.00,$0.00
,Buy to Cover,10/03/2017 10:35,chiudoShort,$3137.50,,$78.75,($367.50),,($45.00),63.46%,40.38%,$0.00,$0.00
70,Sell Short,16/03/2017 02:45,Sell2,$3158.00,$0.00,3,$150.00,0.32%,$150.00,97.56%,,$0.00,$0.00
,Buy to Cover,16/03/2017 09:25,Cover,$3148.00,,$150.00,($217.50),,($3.75),100.00%,97.56%,$0.00,$0.00
71,Sell Short,22/03/2017 10:20,Sell2,$3114.00,$0.00,3,($33.75),-0.07%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,22/03/2017 10:35,chiudoShort,$3116.25,,($33.75),($251.25),,($52.50),35.71%,-64.29%,$0.00,$0.00
72,Sell Short,22/03/2017 10:25,Sell3,$3117.00,$0.00,4,$15.00,0.02%,$35.00,77.78%,,$0.00,$0.00
,Buy to Cover,22/03/2017 10:35,chiudoShort,$3116.25,,$15.00,($236.25),,($10.00),55.56%,33.33%,$0.00,$0.00
73,Sell Short,24/03/2017 10:10,Sell2,$3122.00,$0.00,3,$56.25,0.12%,$60.00,94.12%,,$0.00,$0.00
,Buy to Cover,24/03/2017 10:35,chiudoShort,$3118.25,,$56.25,($180.00),,($3.75),94.12%,88.24%,$0.00,$0.00
74,Sell Short,28/03/2017 10:10,Sell2,$3115.75,$0.00,3,($15.00),-0.03%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,28/03/2017 10:35,chiudoShort,$3116.75,,($15.00),($195.00),,($33.75),55.56%,-44.44%,$0.00,$0.00
75,Sell Short,29/03/2017 09:35,Sell2,$3126.75,$0.00,3,$18.75,0.04%,$37.50,62.50%,,$0.00,$0.00
