

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
70,Buy,15/02/2019 14:01,Buy,$2008.5,$0.00,5,$25.00,0.02%,$95.00,100.00%,,$0.00,$0.00
,Sell,17/02/2019 18:05,Sell,$2009.0,,$25.00,$3550.00,,$0.00,26.32%,26.32%,$0.00,$0.00
71,Buy,22/02/2019 14:01,Buy,$2017.4,$0.00,5,($130.00),-0.13%,$20.00,10.81%,,$0.00,$0.00
,Sell,24/02/2019 18:05,Sell,$2014.8,,($130.00),$3420.00,,($165.00),18.92%,-70.27%,$0.00,$0.00
72,Buy,01/03/2019 14:01,Buy,$1982.3,$0.00,5,($60.00),-0.06%,$10.00,3.03%,,$0.00,$0.00
,Sell,03/03/2019 18:05,Sell,$1981.1,,($60.00),$3360.00,,($320.00),78.79%,-18.18%,$0.00,$0.00
73,Buy,08/03/2019 14:01,Buy,$1984.1,$0.00,5,($70.00),-0.07%,$75.00,51.72%,,$0.00,$0.00
,Sell,10/03/2019 18:05,Sell,$1982.7,,($70.00),$3290.00,,($70.00),0.00%,-48.28%,$0.00,$0.00
74,Buy,22/03/2019 14:01,Buy,$1997.2,$0.00,5,$35.00,0.04%,$70.00,45.16%,,$0.00,$0.00
,Sell,24/03/2019 18:05,Sell,$1997.9,,$35.00,$3325.00,,($85.00),77.42%,22.58%,$0.00,$0.00
75,Buy,29/03/2019 14:01,Buy,$1976.3,$0.00,5,($55.00),-0.06%,$35.00,31.82%,,$0.00,$0.00
,Sell,31/03/2019 18:06,Sell,$1975.2,,($55.00),$3270.00,,($75.00),18.18%,-50.00%,$0.00,$0.00
76,Buy,05/04/2019 14:01,Buy,$1974.3,$0.00,5,$25.00,0.03%,$35.00,26.92%,,$0.00,$0.00
,Sell,07/04/2019 18:05,Sell,$1974.8,,$25.00,$3295.00,,($95.00),92.31%,19.23%,$0.00,$0.00
77,Buy,12/04/2019 14:01,Buy,$1972.9,$0.00,5,$0.00,0.00%,$10.00,11.76%,,$0.00,$0.00
,Sell,14/04/2019 18:05,Sell,$1972.9,,$0.00,$3295.00,,($75.00),88.24%,0.00%,$0.00,$0.00
78,Buy,26/04/2019 14:01,Buy,$1966.9,$0.00,5,($15.00),-0.02%,$35.00,41.18%,,$0.00,$0.00
,Sell,28/04/2019 18:05,Sell,$1966.6,,($15.00),$3280.00,,($50.00),41.18%,-17.65%,$0.00,$0.00
79,Buy,03/05/2019 14:02,Buy,$1959.7,$0.00,5,$120.00,0.12%,$120.00,41.38%,,$0.00,$0.00
,Sell,05/05/2019 18:05,Sell,$1962.1,,$120.00,$3400.00,,($170.00),100.00%,41.38%,$0.00,$0.00
80,Buy,17/05/2019 14:01,Buy,$1954.8,$0.00,5,$75.00,0.08%,$85.00,70.83%,,$0.00,$0.00
,Sell,19/05/2019 18:05,Sell,$1956.3,,$75.00,$3475.00,,($35.00),91.67%,62.50%,$0.00,$0.00
