

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,23/02/2017 15:00,EoDS,$8900.75,,$69.00,($1350.00),,($33.00),47.22%,31.94%,$0.00,$0.00
60,Sell Short,27/02/2017 09:00,StochES1,$8897.00,$0.00,3,($58.50),-0.11%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,27/02/2017 09:15,StochSx2,$8906.75,,($58.50),($1408.50),,($60.00),2.50%,-97.50%,$0.00,$0.00
61,Sell Short,28/02/2017 11:30,StochES2,$8902.25,$0.00,3,($13.50),-0.03%,$85.50,85.07%,,$0.00,$0.00
,Buy to Cover,28/02/2017 13:15,StochSx2,$8904.50,,($13.50),($1422.00),,($15.00),1.49%,-13.43%,$0.00,$0.00
62,Sell Short,28/02/2017 13:30,StochES2,$8898.75,$0.00,3,$13.50,0.03%,$33.00,48.89%,,$0.00,$0.00
,Buy to Cover,28/02/2017 15:00,EoDS,$8896.50,,$13.50,($1408.50),,($34.50),71.11%,20.00%,$0.00,$0.00
63,Sell Short,06/03/2017 09:00,StochES1,$8919.00,$0.00,3,($85.50),-0.16%,$54.00,38.30%,,$0.00,$0.00
,Buy to Cover,06/03/2017 12:30,StochSx2,$8933.25,,($85.50),($1494.00),,($87.00),1.06%,-60.64%,$0.00,$0.00
64,Sell Short,07/03/2017 09:00,StochES1,$8917.00,$0.00,3,($130.50),-0.24%,$1.50,1.09%,,$0.00,$0.00
,Buy to Cover,07/03/2017 09:45,StochSx2,$8938.75,,($130.50),($1624.50),,($136.50),4.35%,-94.57%,$0.00,$0.00
65,Sell Short,07/03/2017 10:45,StochES2,$8927.00,$0.00,3,($19.50),-0.04%,$51.00,66.67%,,$0.00,$0.00
,Buy to Cover,07/03/2017 12:30,StochSx2,$8930.25,,($19.50),($1644.00),,($25.50),7.84%,-25.49%,$0.00,$0.00
66,Sell Short,08/03/2017 15:00,StochES2,$8926.50,$0.00,3,$0.00,0.00%,$0.00,100.00%,,$0.00,$0.00
