

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
48,Sell Short,13/12/2016 00:30,SE,$1906.7,$0.00,1,$340.00,0.18%,$720.00,74.23%,,$0.00,$0.00
,Buy to Cover,13/12/2016 16:50,SX,$1903.3,,$340.00,$16920.00,,($250.00),60.82%,35.05%,$0.00,$0.00
49,Buy,14/12/2016 01:30,LE,$1906.3,$0.00,1,($1720.00),-0.90%,$490.00,17.50%,,$0.00,$0.00
,Sell,14/12/2016 16:50,LX,$1889.1,,($1720.00),$15200.00,,($2310.00),21.07%,-61.43%,$0.00,$0.00
50,Buy,16/12/2016 00:45,LE,$1876.6,$0.00,1,$230.00,0.12%,$980.00,71.53%,,$0.00,$0.00
,Sell,16/12/2016 16:50,LX,$1878.9,,$230.00,$15430.00,,($390.00),45.26%,16.79%,$0.00,$0.00
51,Buy,19/12/2016 01:00,LE,$1884.8,$0.00,1,($80.00),-0.04%,$280.00,47.46%,,$0.00,$0.00
,Sell,19/12/2016 16:50,LX,$1884.0,,($80.00),$15350.00,,($310.00),38.98%,-13.56%,$0.00,$0.00
52,Sell Short,20/12/2016 01:15,SE,$1879.7,$0.00,1,$290.00,0.15%,$920.00,87.62%,,$0.00,$0.00
,Buy to Cover,20/12/2016 16:50,SX,$1876.8,,$290.00,$15640.00,,($130.00),40.00%,27.62%,$0.00,$0.00
53,Sell Short,22/12/2016 00:30,SE,$1874.4,$0.00,1,$80.00,0.04%,$260.00,37.68%,,$0.00,$0.00
,Buy to Cover,22/12/2016 16:50,SX,$1873.6,,$80.00,$15720.00,,($430.00),73.91%,11.59%,$0.00,$0.00
54,Buy,23/12/2016 01:00,LE,$1876.2,$0.00,1,$200.00,0.11%,$430.00,65.15%,,$0.00,$0.00
,Sell,23/12/2016 16:50,LX,$1878.2,,$200.00,$15920.00,,($230.00),65.15%,30.30%,$0.00,$0.00
55,Sell Short,29/12/2016 04:05,SE,$1891.5,$0.00,1,($1140.00),-0.60%,$300.00,19.61%,,$0.00,$0.00
,Buy to Cover,29/12/2016 16:50,SX,$1902.9,,($1140.00),$14780.00,,($1230.00),5.88%,-74.51%,$0.00,$0.00
56,Sell Short,03/01/2017 02:25,SE,$1898.8,$0.00,1,($360.00),-0.19%,$910.00,46.67%,,$0.00,$0.00
,Buy to Cover,03/01/2017 16:50,SX,$1902.4,,($360.00),$14420.00,,($1040.00),34.87%,-18.46%,$0.00,$0.00
57,Sell Short,05/01/2017 03:55,SE,$1916.0,$0.00,1,($810.00),-0.42%,$180.00,12.08%,,$0.00,$0.00
,Buy to Cover,05/01/2017 16:50,SX,$1924.1,,($810.00),$13610.00,,($1310.00),33.56%,-54.36%,$0.00,$0.00
58,Buy,09/01/2017 03:20,LE,$1919.9,$0.00,1,$490.00,0.26%,$970.00,88.99%,,$0.00,$0.00
